N;Tiempo
100;0.00000
200;0.01563
300;0.03124
400;0.03125
500;0.03125
600;0.03125
700;0.04687
800;0.07812
900;0.09375
1000;0.12500
1100;0.14062
1200;0.15625
1300;0.15625
1400;0.21874
1500;0.21874
1600;0.28124
1700;0.32334
1800;0.34374
1900;0.42186
2000;0.49998
2100;0.59373
2200;0.53124
2300;0.64060
2400;0.53214
2500;0.67185
2600;0.60936
2700;1.57807
2800;1.53173
2900;0.78122
3000;0.89060
3100;0.89148
3200;1.31246
3300;1.40621
3400;1.45394
3500;1.24996
3600;1.26558
3700;1.32914
3800;1.40621
3900;1.46871
4000;1.53120
4100;1.56350
4200;1.90619
4300;1.98431
4400;1.89057
4500;1.92323
4600;2.09368
4700;2.04680
4800;2.53651
4900;2.56242
5000;2.34368
